TYPE;string;string;float64;float64;string;float64
CUPW;14C PRODUCTION UNKNOWN FILTER;milligram carbon/(m3.day);0;200;%6.2f;1e36
C1UW;14C UPTAKE 0.2-1 MICRON;milligram carbon/(m3.day);0;100;%6.2f;1e36
BFUP;19'BUTANOYLOXYFUCOXANTHINE;milligram/m3;0;5;%6.3f;1e36
HFUP;19'HEXANOYLOXYFUCOXANTHINE;milligram/m3;0;5;%6.3f;1e36
ASDW;ABSORPTION STANDARD DEVIATION;milligram/m3;0;10;%5.2f;1e36
MALF;AL FLUX IN SETTLING PARTICLES;milligram/(m2.day);0;180;%6.2f;1e36
ALKY;ALKALINITY;millimole/m3;1500;2500;%4.0f;1e36
ALKW;ALKALINITY;micromole/kg;0;9000;%6.1f;1e36
AXAP;ALLOXANTHINE;milligram/m3;0;5;%6.3f;1e36
ABCP;ALPHA BETA CAROTENES;milligram/m3;0;5;%6.3f;1e36
AMOW;AMMONIUM (NH4-N) CONTENT;micromole/kg;0;1;%6.3f;1e36
AMON;AMMONIUM (NH4-N) CONTENT;millimole/m3;0;10;%6.2f;1e36
NHRW;AMMONIUM REGENERATION;micromole nitrogen/(m3.day);0;99;%5.0f;1e36
NHUW;AMMONIUM UPTAKE;micromole nitrogen/(m3.day);0;900;%5.0f;1e36
ATMP;ATMOSPHERIC PRESSURE;hectopascal;1000;1030;%8.3f;1e36
ATMS;ATMOSPHERIC PRESSURE - SEA LEV;hectopascal;1000;1030;%8.3f;1e36
NFAW;AUTOTROPHIC NANOFLAGELLATES;10+3 cell/m3;0;900000;%6.0f;1e36
VTZA;AVER ZERO CROSSING WAVE PERIOD;second;0;500;%3.0f;1e36
VAVH;AVER. HEIGHT HIGHEST 1/3 WAVE;metre;0;30;%5.2f;1e36
NAVG;AVERAGED DATA CYCLE NUMBER;number;0;999;%3.0f;1e36
MALP;Al IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MALS;Al IN THE SEDIMENT;%;0;99;%6.3f;1e36
BCCS;BACTERIA NUMBER SEDIMENT;10+9 cell/dm3;0;9999.9;%6.1f;1e36
BCMW;BACTERIAL BIOMASS IN SEA WATER;milligram C/m3;0;16;%6.3f;1e36
BATH;BATHYMETRIC DEPTH;meter;0;11000;%6.1f;1e36
MBAP;Ba IN SUSPENDED MATTER;milligram/m3;0;99.9999;%7.4f;1e36
MBAS;Ba IN THE SEDIMENT;ppm;0;5000;%7.2f;1e36
MBRS;Br IN THE SEDIMENT;ppm;-50;50;%+6.2f;1e36
CO3P;CARBONATES CONTENT;%;0;99.99;%5.2f;1e36
CODW;CHEMICAL OXYGEN DEMAND;millimole/m3;0;650;%7.3f;1e36
CH1P;CHL-A(LESS DIVINYLCHL-A);milligram/m3;0;3;%6.3f;1e36
CH2P;CHL-B(LESS DIVINYLCHL-B);milligram/m3;0;1;%6.3f;1e36
CH1T;CHLOROPHYLL TOTAL;microgram/kg;0;10;%5.2f;1e36
CPH1;CHLOROPHYLL-A TOTAL;milligram/m3;0;99;%5.2f;1e36
CPHL;CHLOROPHYLL-A TOTAL;milligram/m3;0;99;%5.2f;1e36
CPH2;CHLOROPHYLL-A TOTAL;milligram/m3;0;99;%5.2f;1e36
CHAF;CHLOROPHYLL-A VERTICAL FLUX;milligram/(m2.day);0;99;%6.3f;1e36
CPH3;CHLOROPHYLL-A/2 MICRON FILTER;milligram/m3;0;99;%5.2f;1e36
CPH4;CHLOROPHYLL-A/20 MICRON FILTER;milligram/m3;0;99;%5.2f;1e36
CHLB;CHLOROPHYLL-B TOTAL;milligram/m3;0;99;%5.2f;1e36
CHLC;CHLOROPHYLL-C TOTAL;milligram/m3;0;99;%6.3f;1e36
CHCZ;CHLOROPHYLL-C1+C2;milligram/m3;0;900;%6.3f;1e36
CHC3;CHLOROPHYLL-C3;milligram/m3;0;5;%6.3f;1e36
CHLT;CHLOROPHYLL-TOTAL;milligram/m3;0;99;%5.2f;1e36
CLAY;CLAY IN THE SEDIMENT;%;0;100;%6.2f;1e36
FCO2;CO2 FUGACITY;microatmosphere;0;1000;%6.1f;1e36
XCO2;CO2 MOLE FRACTION IN DRY GAS;ppm;0;5000;%8.3f;1e36
PCO2;CO2 PART. PRES IN DRY/WET GAS;microatmosphere;100;700;%7.3f;1e36
COPF;COCCOLITHOPHORIDAE PPC FLUX;milligram C/(m2.day);0;99.999;%6.3f;1e36
PREC;CORRECTED SEA PRESSURE;decibar=10000 pascals;0;6500;%6.1f;1e36
MCUF;CU FLUX IN SETTLING PARTICLES;microgram/(m2.day);0;120;%6.2f;1e36
EWCS;CURRENT EAST  STD. DEVIATION;meter/second;0;20;%+6.3f;1e36
EWCT;CURRENT EAST COMPONENT;meter/second;-100;100;%+7.3f;1e36
NSCT;CURRENT NORTH COMPONENT;meter/second;-100;100;%+7.3f;1e36
NSCS;CURRENT NORTH STD. DEVIATION;meter/second;0;20;%+7.3f;1e36
MCAP;Ca IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MCAS;Ca IN THE SEDIMENT;%;0;99;%6.3f;1e36
MCES;Ce IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MCLP;Cl IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MCRS;Cr IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MCUS;Cu IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
DCAW;DARK CARBON ABSORPTION;milligram/m3;-0.05;10;%5.2f;1e36
CDFW;DARK FIXATION;milligram carbon/(m3.day);0;2;%5.2f;1e36
DATE;DATE;mmdd;101;1231;%4.4d;1e36
DAYX;DAY WITHIN MONTH;dd;1;31;%2.2d;1e36
DAYS;DAY WITHIN YEAR;decimal day;1;366;%9.5f;1e36
D13C;DELTA 13 C SIGNATURE;%;-50;100;%6.2f;1e36
C13D;DELTA 13C (13C/12C);per thousand;-50;100;%5.1f;1e36
N15D;DELTA 15N (15N/14N);per thousand;-2;10;%5.1f;1e36
HELD;DELTA HELIUM 3;%;-99;99;%6.2f;1e36
DENS;DENSITY (Sigma-theta);kg/m3;10;35;%6.3f;1e36
DEN1;DENSITY (Sigma-theta) PRIMARY SENSORS;kg/m3;10;35;%6.3f;1e36
DEN2;DENSITY (Sigma-theta) SECONDARY SENSORS;kg/m3;10;35;%6.3f;1e36
DPS1;DEPTH BELOW BOTTOM-LOWER LIMIT;meter;0;11000;%6.1f;1e36
DPSF;DEPTH BELOW SEA FLOOR;meter;0;11000;%6.1f;1e36
DEPH;DEPTH BELOW SEA SURFACE;meter;0;6000;%6.1f;1e36
DEPTH;DEPTH BELOW SEA SURFACE;meter;0;6000;%6.1f;1e36
DXAP;DIADINOXANTHINE;milligram/m3;0;5;%6.3f;1e36
DIPF;DIATOMS PPC FLUX;milligram C/(m2.day);0;99.999;%6.3f;1e36
TXAP;DIATOXANTHINE;milligram/m3;0;5;%6.3f;1e36
DFPF;DINOFLAGELLATES PPC FLUX;milligram C/(m2.day);0;99.999;%6.3f;1e36
HCDT;DIRECTION REL. TRUE NORTH;degree;0;360;%5.1f;1e36
TPAW;DISS. TRIPHOSPHATE ADENOSINE;milligram/m3;0;1;%6.3f;1e36
ETHW;DISSOLVED 234 TH ACT. ERROR;Bq/m3;0;90;%6.3f;1e36
TH4W;DISSOLVED 234TH;Bq/m3;0;90;%6.3f;1e36
CL4W;DISSOLVED C-TETRACHLORIDE;picomole/kg;0;10;%6.3f;1e36
CO2W;DISSOLVED CARBON DIOXYD (CO2);millimole/m3;0;4800;%6.1f;1e36
CF1W;DISSOLVED CFC11;picomole/kg;-0.01;90;%7.4f;1e36
