key;types;long_name;standard_name;units;conventions;positive;valid_min;valid_max;format;FillValue_;epic_code;axis;resolution;comment;default_value;coordinate;flag_values;flag_meanings
string;string;string;string;string;char;string;float64;float64;string;float64;float64;string;float64;string;float64;string;string;string
PRLF;int32;profile number;;;;;;;%4d;;;;;Station number, a station could be have more than one cast;;TIME;;
PROFILE;int32;profile number;;;;;;;%4d;;;;;Cast number;;TIME;;
LATITUDE;float32;;;;;;;;;;;;;;;;;
LONGITUDE;float32;;;;;;;;;;;;;;;;;
TIME;float64;days since 1950-01-01T00:00:00Z;0;90000.0;%6.6d;1E+36;;;;;;;;;;;;
ETDD;float32;ellapsed time;decimal days;999;%9.5f;1E+36;;;;;;;;;;;;
DEPTH;float32;sea water depth;deph;m;;up;;;%7.2lf;99999;;Z;;Deph of the measurement ;;LEVEL;;
PRES;float32;sea water pressure;sea water pressure;decibard;;down;;;%7.2lf;99999;;Z;;Pressure of the measurement ;;LEVEL;;
TEMP;float32;sea water temperature;sea_water_temperature;degree_Celsius;;;-1.5;38;%6.3lf;99999;;;0.001;Ocean temperature;;TIME;;
PSAL;float32;practical salinity;sea_water_salinity ;psu;;;-1.5;38;%6.3lf;99999;;;0.001;Ocean salinity;;TIME;;
DOX2;float32;dissolved oxygen;moles_of_oxygen_per_unit_mass_in_sea_water was dissolved_oxygen;micromole/kg;;;-1.5;38;%6.3lf;99999;;;0.001;Ocean oxygen in micromole by kg;;TIME;;
DENS;float32;density;sea_water_density;kg/m3;;;-1.5;38;%6.3lf;1E+36;;;0.001;Ocean density;;TIME;;
SVEL;float32;sound velocity;sea_water_velocity;meter/second;;;1350;1600;%7.2lf;1E+36;;;0.001;Ocean sound velocity;;TIME;;
DRYT;float32;air temperature;air_temperature;degree_Celsius;;;-1.5;38;%6.3lf;1E+36;;;0.001;Air temperature;;TIME;;
WMSP;float32;wind speed - max aver per 2 mn;wind_speed;meter/second;;;0;200;%6.3lf;1E+36;;;0.001;Horizontal wind speed;;TIME;;
WDIR;float32;wind direction rel. true north;wind_to_direction;degree;;;0;360;%5.1lf;1E+36;;;0.001;Horizontal wind speed;;TIME;;
ATMS;float32;atmospheric pressure - sea lev;air_pressure_at_sea_level;hectoPascal;;;940;1030;%8.3lf;1E+36;;;0.001;Atmospheric pressure at sea level;;TIME;;
RELH;float32;relative humidity;relative_humidity;%;;;0;100;%6.1lf;1E+36;;;0.001;Relative humidity;;TIME;;
NSCT;float32;current north component;;cm/second;;;-100;100;%7.3lf;1E+36;;;0.01; Current north;;TIME;;
EWCT;float32;current east component;;cm/second;;;-100;100;%7.3lf;1E+36;;;0.02;Current east;;TIME;;
SSJT;float32;sea surface water jacket temperature;sea_water_temperature;degree_Celsius;;;-1.5;38;%6.3lf;1E+36;;;0.001;Ocean temperature;;TIME;;
SSTP;float32;sea surface water temperature;sea_water_temperature;degree_Celsius;;;-1.5;38;%6.3lf;1E+36;;;0.001;Sea surface Ocean temperature;;TIME;;
SSPS;float32;sea surface practical salinity;sea_water_salinity ;psu;;;-1.5;38;%6.3lf;1E+36;;;0.001;Ocean salinity;;TIME;;
PCO2;float32;co2 part. pres in dry/wet gas;;microatmosphere;;;100;700;%7.3lf;1E+36;;;0.001;Ocean salinity;;TIME;;
FLU2;float32;fluorescence;;milligram/m3;;;0;1;%8.4lf;1E+36;;;0.001;Ocean salinity;;TIME;;
TUR3;float32;light transmission;;%;;;0;100;%6.2lf;1E+36;;;0.001;Ocean salinity;;TIME;;
SSJT;float32;sea surface water jacket temperature;;Celsius degree;;;-1.5;38;%6.3f;1E+36;;;0.001;;;;;
DAYD;float32;decimal julian day time origin 0;;decimal day;;;0.0;3660.0;%9.5f;1E+36;;;0.001;;;;;
TE01;float32;sea temperature primary sensor;;Celsius degree;;;-2;32;%6.3f;1E+36;;;0.001;;;;;
TE02;float32;sea temperature secondary sensor;;Celsius degree;;;-2;32;%6.3f;1E+36;;;0.001;;;;;
PSA1;float32;practical salinity primary sensor;;P.S.S.78;;;33;37;%6.3f;1E+36;;;0.001;;;;;
PSA2;float32;practical salinity secondary sensor;;P.S.S.78;;;33;37;%6.3f;1E+36;;;0.001;;;;;
CND1;float32;electrical conductivity primary sensor;;mho/meter;;;3;7;%5.3f;1E+36;;;0.001;;;;;
CND2;float32;electrical conductivity secondary sensor;;mho/meter;;;3;7;%5.3f;1E+36;;;0.001;;;;;
DO11;float32;dissolved oxygen primary sensor;;ml/l;;;0;10;%5.2f;1E+36;;;0.001;;;;;
DO21;float32;dissolved oxygen secondary sensor;;ml/l;;;0;10;%5.2f;1E+36;;;0.001;;;;;
DO12;float32;dissolved oxygen primary sensor;;micromole/kg;;;0;450;%7.3f;1E+36;;;0.001;;;;;
DO22;float32;dissolved oxygen secondary sensor;;micromole/kg;;;0;450;%7.3f;1E+36;;;0.001;;;;;
DOV1;float32;dissolved oxygen primary sensor voltage;;V;;;0;10;%6.4f;1E+36;;;0.001;;;;;
DOV2;float32;dissolved oxygen secondary sensor voltage;;V;;;0;10;%6.4f;1E+36;;;0.001;;;;;
DVT1;float32;dissolved oxygen primary sensor dv/dt;;dv/dt;;;-1;1;%+7.5f;1E+36;;;0.001;;;;;
DVT2;float32;dissolved oxygen secondary sensor dv/dt;;dv/dt;;;-1;1;%+7.5f;1E+36;;;0.001;;;;;
WETT;float32;wet bulb temperature;;Celsius degree;;;0;90;%5.1f;1E+36;;;0.001;;;;;
HEIG;float32;atmospheric height;;meter;;;0;40000;%8.2f;1E+36;;;0.001;;;;;
BOTL;float32;sea water sample bottle number;;N/A;;;1;36;%3d;3E+02;;;0.001;;;;;
TYPECAST;float32;type of cast: unknow=0, phy=1, bio=2, geo=3;;N/A;;;0.0;9.0;%1d;3E+02;;;0.001;;;;;
